employee_id,employee_name,department,sub_department,is_active
1,Алексей Орлов,Разработка,Backend,True
2,Мария Соколова,Разработка,QA,True
3,Илья Кузнецов,Разработка,QA,True
4,Анна Волкова,Проектирование и дизайн,UX/UI,True
5,Олег Морозов,Продуктовая аналитика,Продуктовая аналитика,True
6,Елена Лебедева,Менеджмент,Проектный менеджмент,True
7,Роман Егоров,Разработка,Frontend,True
8,Дарья Новикова,Разработка,Mobile,True
9,Сергей Павлов,Проектирование и дизайн,Системная аналитика,True
10,Наталья Белова,Разработка,Backend,True
